DelkaTrvani;ID;IDr;CisloPece;CisloPodstavce;CisloOchrannehoPoklopu;Vsazky;Sloupec1;Smena;Program;CasZahajeni;CasUkonceni;Batch01_GIN;Batch01_Lot;Batch01_WGHT;Batch01_stred;Batch01_cont;Batch01_Nazev;Batch01_CisloZakazky;Batch02_GIN;Batch02_Lot;Batch02_WGHT;Batch02_stred;Batch02_cont;Batch02_Nazev;Batch02_CisloZakazky;Batch03_GIN;Batch03_Lot;Batch03_WGHT;Batch03_stred;Batch03_cont;Batch03_Nazev;Batch03_CisloZakazky;Batch04_GIN;Batch04_Lot;Batch04_WGHT;Batch04_stred;Batch04_cont;Batch04_Nazev;Batch04_CisloZakazky;Batch05_GIN;Batch05_Lot;Batch05_WGHT;Batch05_stred;Batch05_cont;Batch05_Nazev;Batch05_CisloZakazky;Batch06_GIN;Batch06_Lot;Batch06_WGHT;Batch06_stred;Batch06_cont;Batch06_Nazev;Batch06_CisloZakazky;Batch07_GIN;Batch07_Lot;Batch07_WGHT;Batch07_stred;Batch07_cont;Batch07_Nazev;Batch07_CisloZakazky;Batch08_GIN;Batch08_Lot;Batch08_WGHT;Batch08_stred;Batch08_cont;Batch08_Nazev;Batch08_CisloZakazky;Batch09_GIN;Batch09_Lot;Batch09_WGHT;Batch09_stred;Batch09_cont;Batch09_Nazev;Batch09_CisloZakazky;Batch10_GIN;Batch10_Lot;Batch10_WGHT;Batch10_stred;Batch10_cont;Batch10_Nazev;Batch10_CisloZakazky;Batch11_GIN;Batch11_Lot;Batch11_WGHT;Batch11_stred;Batch11_cont;Batch11_Nazev;Batch11_CisloZakazky;Batch12_GIN;Batch12_Lot;Batch12_WGHT;Batch12_stred;Batch12_cont;Batch12_Nazev;Batch12_CisloZakazky;Plyn_Spotreba_Cyklus;OA_Spotreba_Cyklus;Zdroj;StatusProgramu;Reported;PosledniZmena;RadekVytvoren
112805;153;7;0;7;5.0;22p7x1;;A;1;11.09.2024 19:00;13.09.2024 2:20;XF13225500;76692.0;1034.0;B485;H100924045;VD;513613.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;316;97;1ESAB1;0;1.0;13.09.2024 2:20;
116897;152;6;1;2;10.0;sawp2x2;;A;2;12.09.2024 8:04;13.09.2024 16:32;XF13165501;77064.0;990.0;B430;2;VD;513521.0;XF13165501;77064.0;1024.0;B430;2;VD;513521.0;XF13165501;77064.0;1022.0;B430;2;VD;513521.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;240;124;1ESAB1;0;1.0;13.09.2024 16:32;
98143;176;7;4;2;10.0;SAWP2X3;;A;2;18.09.2024 17:25;19.09.2024 20:41;xf13165501;77096.0;936.0;b430;2;VD;517050.0;xf13165501;77096.0;1034.0;b430;2;VD;517050.0;xf13165501;77096.0;934.0;b430;2;VD;517050.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;340;63;1ESAB1;0;1.0;19.09.2024 20:41;18.09.2024 10:11
96326;145;9;2;3;2.0;16P3X1;;B;2;10.09.2024 21:00;11.09.2024 23:45;xf13165500;77022.0;1006.0;b485;h100924041;VD;513590.0;xf13165500;77022.0;998.0;b485;h100924042;VD;513590.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;239;278;1ESAB1;0;1.0;12.09.2024 14:27;
104527;158;7;3;4;7.0;sawp4x1;;C;2;12.09.2024 14:57;13.09.2024 20:00;XF13165501;77064.0;1048.0;B430;2;VD;513521.0;XF13165501;77064.0;1004.0;B430;2;VD;513521.0;XF13165501;77064.0;1046.0;B430;2;VD;513521.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;324;94;1ESAB2;0;1.0;16.09.2024 10:31;
53331;129;4;2;1;1.0;SAWP1X1;;D;3;05.09.2024 12:59;06.09.2024 3:48;xf12245501;28623.0;1016.0;b430;2;VD;510820.0;xf12245501;28623.0;1000.0;b430;2;VD;510820.0;VASPO;;3.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;177;52;1ESAB1;0;1.0;;
250717;134;5;1;1;1.0;66P1X2;;B;3;06.09.2024 22:10;09.09.2024 19:48;xf12665500;735145.0;1124.0;B485;H050924152;VD;510899.0;xf12665500;735145.0;1042.0;b485;H060924077;VD;510899.0;;;;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;176;63;1ESAB1;0;1.0;09.09.2024 19:48;
35986;199;12;1;1;1.0;66P1X1;;B;3;01.10.2024 11:57;01.10.2024 21:56;xf12665500;728590.0;1186.0;b485;h011024051;VD;522081.0;xf12665500;728590.0;1190.0;b485;h011024050;VD;522081.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;157;54;1ESAB2;0;1.0;01.10.2024 21:56;01.10.2024 11:57
46924;202;13;1;1;1.0;SAWP1X1;;A;3;02.10.2024 3:04;02.10.2024 16:06;xf12245500;28624.0;1032.0;b485;h011024046;VD;522015.0;xf12245500;28624.0;976.0;b485;h011024048;VD;522015.0;xf12245500;28624.0;1024.0;b485;h011024047;VD;522015.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;158;58;1ESAB2;0;1.0;02.10.2024 16:06;02.10.2024 2:31
50522;225;16;2;1;1.0;66p1x2;;B;3;08.10.2024 19:26;09.10.2024 9:28;XF12665500;728590.0;1118.0;B485;H081024098;VD;525438.0;XF12665500;728590.0;1060.0;B485;H081024092;VD;525438.0;XF12665500;728590.0;1002.0;B485;H081024093;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;188;67;1ESAB2;0;1.0;09.10.2024 9:56;08.10.2024 19:26
