Total_WGHT,Program,DelkaTrvani,Nazev,Pondeli
1034.0,1.0,112805,VD,0
3036.0,2.0,116897,VD,0
2904.0,2.0,98143,VD,0
2004.0,2.0,96326,VD,0
3098.0,2.0,104527,VD,0
2019.0,3.0,53331,VD,0
2166.0,3.0,250717,VD,0
2376.0,3.0,35986,VD,0
3032.0,3.0,46924,VD,0
3180.0,3.0,50522,VD,0
3148.0,3.0,41470,VD,0
3136.0,3.0,44342,VD,0
2100.0,3.0,37486,VD,0
2046.0,3.0,512811,VD,0
3244.0,3.0,42894,VD,0
3302.0,3.0,48160,VD,0
3308.0,3.0,45350,VD,0
3016.0,3.0,41914,VD,0
2950.0,3.0,42325,VD,0
2350.0,3.0,40510,VD,0
3090.0,3.0,54760,VD,0
3310.0,3.0,41125,VD,0
3058.0,3.0,50985,VD,0
6000.0,3.0,58756,Predtah,1
3246.0,3.0,41545,VD,1
2044.0,5.0,62952,VD,0
1018.0,5.0,63292,VD,0
2050.0,5.0,65711,VD,0
3134.0,5.0,58514,VD,0
3172.0,7.0,50536,VD,1
3054.0,7.0,57207,VD,0
3125.0,7.0,58486,VD,0
3276.0,7.0,54927,VD,0
3316.0,7.0,53774,VD,0
6170.0,10.0,106576,Predtah,0
2654.0,10.0,92779,Predtah,1
10200.0,10.0,16800,Predtah,0
8500.0,10.0,133530,Predtah,0
10200.0,10.0,5841,Predtah,0
3078.0,10.0,102541,Predtah,0
9960.0,10.0,109224,Predtah,0
10200.0,10.0,113643,Predtah,0
10225.0,10.0,123210,Predtah,0
7710.0,10.0,109753,Predtah,1
10200.0,10.0,128083,Predtah,0
8040.0,10.0,108539,Predtah,1
10100.0,10.0,117102,Predtah,0
7896.0,11.0,129971,Predtah,1
7896.0,11.0,273923,Predtah,1
6045.0,11.0,101250,Predtah,0
9210.0,11.0,116041,Predtah,0
8300.0,11.0,110104,Predtah,1
7890.0,12.0,163303,Predtah,0
8100.0,12.0,171739,Predtah,0
10200.0,13.0,118200,Predtah,0
10275.0,13.0,148382,Predtah,1
10200.0,13.0,133965,Predtah,0
9970.0,13.0,129863,Predtah,0
9850.0,13.0,120823,Predtah,0
10150.0,13.0,127765,Predtah,1
10200.0,13.0,120237,Predtah,0
10200.0,13.0,129594,Predtah,1
10200.0,13.0,120899,Predtah,0
10200.0,13.0,128899,Predtah,1
8100.0,13.0,116890,Predtah,0
10200.0,13.0,126232,Predtah,0
7650.0,13.0,115175,Predtah,0
3920.0,13.0,98004,Predtah,0
10200.0,13.0,119464,Predtah,1
5950.0,13.0,116434,Predtah,0
10070.0,13.0,124664,Predtah,0
10200.0,13.0,123238,Predtah,1
10200.0,13.0,141988,Predtah,0
10200.0,13.0,123230,Predtah,1
9810.0,13.0,128038,Predtah,0
9520.0,13.0,133202,Predtah,1
10206.0,13.0,118685,Predtah,0
9690.0,13.0,133436,Predtah,1
10200.0,13.0,128522,Predtah,0
10200.0,13.0,124694,Predtah,0
7650.0,13.0,136226,Predtah,0
8070.0,13.0,133177,Predtah,0
10360.0,13.0,148302,Predtah,1
10360.0,13.0,117460,Predtah,0
10200.0,13.0,130861,Predtah,0
10200.0,13.0,130309,Predtah,0
9950.0,13.0,168098,Predtah,1
3040.0,14.0,150771,Predtah,0
9129.0,14.0,180523,Predtah,1
9030.0,14.0,189376,Predtah,1
7170.0,15.0,163851,Predtah,1
9501.0,15.0,184779,Predtah,1
4555.0,15.0,147990,Predtah,1
