Total_WGHT,Program,DelkaTrvani,Nazev,Pondeli
1034.0,1.0,112805.0,VD,0
3036.0,2.0,116897.0,VD,0
2904.0,2.0,98143.0,VD,0
2004.0,2.0,96326.0,VD,0
3098.0,2.0,104527.0,VD,0
2019.0,3.0,53331.0,VD,0
2166.0,3.0,250717.0,VD,0
2376.0,3.0,35986.0,VD,0
3032.0,3.0,46924.0,VD,0
3180.0,3.0,50522.0,VD,0
3148.0,3.0,41470.0,VD,0
3136.0,3.0,44342.0,VD,0
2100.0,3.0,37486.0,VD,0
2046.0,3.0,512811.0,VD,0
3244.0,3.0,42894.0,VD,0
3302.0,3.0,48160.0,VD,0
3308.0,3.0,45350.0,VD,0
3016.0,3.0,41914.0,VD,0
2950.0,3.0,42325.0,VD,0
2350.0,3.0,40510.0,VD,0
3090.0,3.0,54760.0,VD,0
3310.0,3.0,41125.0,VD,0
3058.0,3.0,50985.0,VD,0
6000.0,3.0,58756.0,Predtah,1
3246.0,3.0,41545.0,VD,1
2044.0,5.0,62952.0,VD,0
1018.0,5.0,63292.0,VD,0
2050.0,5.0,65711.0,VD,0
3134.0,5.0,58514.0,VD,0
3172.0,7.0,50536.0,VD,1
3054.0,7.0,57207.0,VD,0
3125.0,7.0,58486.0,VD,0
3276.0,7.0,54927.0,VD,0
3316.0,7.0,53774.0,VD,0
6170.0,10.0,106576.0,Predtah,0
2654.0,10.0,92779.0,Predtah,1
10200.0,10.0,16800.0,Predtah,0
8500.0,10.0,133530.0,Predtah,0
10200.0,10.0,5841.0,Predtah,0
3078.0,10.0,102541.0,Predtah,0
9960.0,10.0,109224.0,Predtah,0
10200.0,10.0,113643.0,Predtah,0
10225.0,10.0,123210.0,Predtah,0
7710.0,10.0,109753.0,Predtah,1
10200.0,10.0,128083.0,Predtah,0
8040.0,10.0,108539.0,Predtah,1
10100.0,10.0,117102.0,Predtah,0
7896.0,11.0,129971.0,Predtah,1
7896.0,11.0,273923.0,Predtah,1
6045.0,11.0,101250.0,Predtah,0
9210.0,11.0,116041.0,Predtah,0
8300.0,11.0,110104.0,Predtah,1
7890.0,12.0,163303.0,Predtah,0
8100.0,12.0,171739.0,Predtah,0
10200.0,13.0,118200.0,Predtah,0
10275.0,13.0,148382.0,Predtah,1
10200.0,13.0,133965.0,Predtah,0
9970.0,13.0,129863.0,Predtah,0
9850.0,13.0,120823.0,Predtah,0
10150.0,13.0,127765.0,Predtah,1
10200.0,13.0,120237.0,Predtah,0
10200.0,13.0,129594.0,Predtah,1
10200.0,13.0,120899.0,Predtah,0
10200.0,13.0,128899.0,Predtah,1
8100.0,13.0,116890.0,Predtah,0
10200.0,13.0,126232.0,Predtah,0
7650.0,13.0,115175.0,Predtah,0
3920.0,13.0,98004.0,Predtah,0
10200.0,13.0,119464.0,Predtah,1
5950.0,13.0,116434.0,Predtah,0
10070.0,13.0,124664.0,Predtah,0
10200.0,13.0,123238.0,Predtah,1
10200.0,13.0,141988.0,Predtah,0
10200.0,13.0,123230.0,Predtah,1
9810.0,13.0,128038.0,Predtah,0
9520.0,13.0,133202.0,Predtah,1
10206.0,13.0,118685.0,Predtah,0
9690.0,13.0,133436.0,Predtah,1
10200.0,13.0,128522.0,Predtah,0
10200.0,13.0,124694.0,Predtah,0
7650.0,13.0,136226.0,Predtah,0
8070.0,13.0,133177.0,Predtah,0
10360.0,13.0,148302.0,Predtah,1
10360.0,13.0,117460.0,Predtah,0
10200.0,13.0,130861.0,Predtah,0
10200.0,13.0,130309.0,Predtah,0
9950.0,13.0,168098.0,Predtah,1
3040.0,14.0,150771.0,Predtah,0
9129.0,14.0,180523.0,Predtah,1
9030.0,14.0,189376.0,Predtah,1
7170.0,15.0,163851.0,Predtah,1
9501.0,15.0,184779.0,Predtah,1
4555.0,15.0,147990.0,Predtah,1
